Event,B/S,Symbol,Shares,Price,Route,Time,Account,Note,
Canceling,Buy,CIGL,10,4.03,ARCA,08:44:24,18337,,
Accept,Buy,CIGL,10,4.03,ARCA,08:44:10,18337,,
Sending,Buy,CIGL,10,4.03,ARCA,08:44:10,18337,,
Accept,Buy,CIGL,10,4.03,SMAT,08:44:10,18337,,
Sending,Buy,CIGL,10,4.03,SMAT,08:44:10,18337,,
Execute,Sell,KZIA,9,8.67,ARCA,08:33:21,18337,,
Execute,Sell,KZIA,1,8.69,ARCA,08:33:21,18337,,
Accept,Sell,KZIA,10,8.56,ARCA,08:33:21,18337,,
Sending,Sell,KZIA,10,8.56,ARCA,08:33:21,18337,,
Accept,Sell,KZIA,10,8.56,SMAT,08:33:21,18337,,
Sending,Sell,KZIA,10,8.56,SMAT,08:33:21,18337,,
Execute,Buy,KZIA,6,9.19,ARCA,08:33:04,18337,,
Execute,Buy,KZIA,4,9.14,ARCA,08:33:04,18337,,
Accept,Buy,KZIA,10,9.42,ARCA,08:33:04,18337,,
Sending,Buy,KZIA,10,9.42,ARCA,08:33:04,18337,,
Accept,Buy,KZIA,10,9.42,SMAT,08:33:04,18337,,
Sending,Buy,KZIA,10,9.42,SMAT,08:33:04,18337,,
Execute,Sell,JZXN,25,0.6132,ARCA,07:31:46,18337,,
Accept,Sell,JZXN,25,0.51,ARCA,07:31:46,18337,,
Sending,Sell,JZXN,25,0.51,ARCA,07:31:46,18337,,
Accept,Sell,JZXN,25,0.51,SMAT,07:31:46,18337,,
Sending,Sell,JZXN,25,0.51,SMAT,07:31:46,18337,,
Execute,Buy,JZXN,25,0.5964,ARCA,07:31:32,18337,,
Accept,Buy,JZXN,25,0.6214,ARCA,07:31:32,18337,,
Sending,Buy,JZXN,25,0.6214,ARCA,07:31:32,18337,,
Accept,Buy,JZXN,25,0.6214,SMAT,07:31:32,18337,,
Sending,Buy,JZXN,25,0.6214,SMAT,07:31:32,18337,,
Execute,Sell,JZXN,25,0.6898,ARCA,07:31:08,18337,,
Accept,Sell,JZXN,25,0.5874,ARCA,07:31:08,18337,,
Sending,Sell,JZXN,25,0.5874,ARCA,07:31:08,18337,,
Accept,Sell,JZXN,25,0.5874,SMAT,07:31:08,18337,,
Sending,Sell,JZXN,25,0.5874,SMAT,07:31:08,18337,,
Execute,Buy,JZXN,25,0.6816,ARCA,07:30:55,18337,,
Accept,Buy,JZXN,25,0.723,ARCA,07:30:55,18337,,
Sending,Buy,JZXN,25,0.723,ARCA,07:30:55,18337,,
Accept,Buy,JZXN,25,0.723,SMAT,07:30:55,18337,,
Sending,Buy,JZXN,25,0.723,SMAT,07:30:55,18337,,
